============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-100
Total params:     5,917,092
Trainable params: 5,917,092
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov=True)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(8)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     79.67%
============================================

--- Epoch-by-epoch log ---
Epoch   1 | train_loss=4.25886 train_acc=6.46% | val_loss=3.97849 val_acc=11.01%
Epoch   2 | train_loss=3.85752 train_acc=13.40% | val_loss=3.73194 val_acc=17.75%
Epoch   3 | train_loss=3.55309 train_acc=20.00% | val_loss=3.65317 val_acc=19.48%
Epoch   4 | train_loss=3.35268 train_acc=24.32% | val_loss=3.72296 val_acc=20.32%
Epoch   5 | train_loss=3.20069 train_acc=28.17% | val_loss=2.97805 val_acc=33.89%
Epoch   6 | train_loss=3.09695 train_acc=30.96% | val_loss=3.41207 val_acc=28.23%
Epoch   7 | train_loss=3.02510 train_acc=32.83% | val_loss=3.16957 val_acc=31.14%
Epoch   8 | train_loss=2.95188 train_acc=34.72% | val_loss=3.03779 val_acc=35.78%
Epoch   9 | train_loss=2.90726 train_acc=35.95% | val_loss=2.85779 val_acc=37.59%
Epoch  10 | train_loss=2.85504 train_acc=37.19% | val_loss=2.78742 val_acc=41.40%
Epoch  11 | train_loss=2.79857 train_acc=39.07% | val_loss=3.02178 val_acc=37.41%
Epoch  12 | train_loss=2.74618 train_acc=40.28% | val_loss=2.83898 val_acc=38.84%
Epoch  13 | train_loss=2.71073 train_acc=41.22% | val_loss=2.67487 val_acc=43.44%
Epoch  14 | train_loss=2.67837 train_acc=42.08% | val_loss=2.91765 val_acc=38.22%
Epoch  15 | train_loss=2.65620 train_acc=42.92% | val_loss=2.74380 val_acc=42.03%
Epoch  16 | train_loss=2.62211 train_acc=43.76% | val_loss=3.06422 val_acc=37.94%
Epoch  17 | train_loss=2.59558 train_acc=44.58% | val_loss=2.39594 val_acc=48.91%
Epoch  18 | train_loss=2.57355 train_acc=45.15% | val_loss=2.63010 val_acc=47.22%
Epoch  19 | train_loss=2.56125 train_acc=45.51% | val_loss=2.35601 val_acc=51.99%
Epoch  20 | train_loss=2.52803 train_acc=46.42% | val_loss=2.54579 val_acc=45.86%
Epoch  21 | train_loss=2.53617 train_acc=46.20% | val_loss=2.45442 val_acc=48.47%
Epoch  22 | train_loss=2.49392 train_acc=47.38% | val_loss=2.43617 val_acc=49.55%
Epoch  23 | train_loss=2.49064 train_acc=47.54% | val_loss=2.42095 val_acc=49.16%
Epoch  24 | train_loss=2.47492 train_acc=47.82% | val_loss=2.49628 val_acc=48.46%
Epoch  25 | train_loss=2.48146 train_acc=47.66% | val_loss=3.17044 val_acc=33.56%
Epoch  26 | train_loss=2.45548 train_acc=48.46% | val_loss=2.69994 val_acc=42.35%
Epoch  27 | train_loss=2.44332 train_acc=48.66% | val_loss=2.76920 val_acc=41.37%
Epoch  28 | train_loss=2.43638 train_acc=48.98% | val_loss=2.49461 val_acc=50.04%
Epoch  29 | train_loss=2.43381 train_acc=49.01% | val_loss=2.49347 val_acc=47.70%
Epoch  30 | train_loss=2.41040 train_acc=49.83% | val_loss=2.54666 val_acc=46.98%
Epoch  31 | train_loss=2.40971 train_acc=49.88% | val_loss=2.51565 val_acc=46.99%
Epoch  32 | train_loss=2.39682 train_acc=50.30% | val_loss=2.32041 val_acc=51.66%
Epoch  33 | train_loss=2.39136 train_acc=50.36% | val_loss=2.33225 val_acc=51.84%
Epoch  34 | train_loss=2.39884 train_acc=50.06% | val_loss=2.26245 val_acc=52.54%
Epoch  35 | train_loss=2.38306 train_acc=50.32% | val_loss=2.36469 val_acc=51.87%
Epoch  36 | train_loss=2.37460 train_acc=50.68% | val_loss=2.34870 val_acc=52.10%
Epoch  37 | train_loss=2.37837 train_acc=50.81% | val_loss=2.42926 val_acc=48.45%
Epoch  38 | train_loss=2.35652 train_acc=51.20% | val_loss=2.44421 val_acc=48.38%
Epoch  39 | train_loss=2.35293 train_acc=51.48% | val_loss=2.19697 val_acc=55.08%
Epoch  40 | train_loss=2.35416 train_acc=51.30% | val_loss=2.34208 val_acc=51.60%
Epoch  41 | train_loss=2.34444 train_acc=51.70% | val_loss=2.29065 val_acc=53.40%
Epoch  42 | train_loss=2.33550 train_acc=51.90% | val_loss=2.44334 val_acc=48.79%
Epoch  43 | train_loss=2.33245 train_acc=52.00% | val_loss=2.35443 val_acc=51.96%
Epoch  44 | train_loss=2.32872 train_acc=52.13% | val_loss=2.28902 val_acc=53.26%
Epoch  45 | train_loss=2.31822 train_acc=52.10% | val_loss=2.28729 val_acc=53.44%
Epoch  46 | train_loss=2.32477 train_acc=52.21% | val_loss=2.31429 val_acc=52.31%
Epoch  47 | train_loss=2.31657 train_acc=52.34% | val_loss=2.13530 val_acc=56.77%
Epoch  48 | train_loss=2.31226 train_acc=52.44% | val_loss=2.19833 val_acc=56.42%
Epoch  49 | train_loss=2.30080 train_acc=53.04% | val_loss=2.35861 val_acc=51.41%
Epoch  50 | train_loss=2.30648 train_acc=52.58% | val_loss=2.24450 val_acc=54.01%
Epoch  51 | train_loss=2.28602 train_acc=53.50% | val_loss=2.24291 val_acc=55.36%
Epoch  52 | train_loss=2.29204 train_acc=52.97% | val_loss=2.35074 val_acc=52.29%
